Canciones más escuchadas de artistas chilenos,Dos Hielos - King Savagge,XQ TAN SOLA? – Nickoog Clk,X ESO BB - Jere Klein,Llámame Bebé  - Pailita,Donde? Jere Klein
Estreno,2 de febrero,6 de abril,10 de agosto,22 de diciembre 2022,1 de marzo
Reproducciones primera semana,1.997.331,1.966.104,3.237.932,3.960.736,746.892
Reproducciones segunda semana,2.061.894,2.554.367,2.956.073,3.681.577,1.187.723
Reproducciones tercera semana,2.177.013,2.634.225,3.465.663,3.232.945,1.742.747
