Top 5 Canciones Chile,Ando - Jere Klein,Perro Negro - Bad Bunny / Feid,¿Cuál es su nombre? - Lucky Browne / Jere Klein / Mateo on the Beatz,X ESO BB - Jere Klein / Nicki Nicole,Lollipop - Darell
Reproducciones Esta Semana,3.418.306 millones,2.163.924 millones,2.090.600 millones,1.993.795 millones,1.767.105 millones
Reproducciones Semana Pasada,3.846.585 millones,2.571.480 millones,2.378.428 millones,2.226.384 millones,2.060.024 millones
Reproducciones Semana Antepasada,3.843.640 millones,2.458.095 millones,2.440.258 millones,2.324.929 millones,1.416.842 millones
